type,question_id,question,button_name,country
"men,abortion","men,abortion,Netherlands",Summarize what most men in Netherlands think of abortion.,How men feel about abortion,Netherlands
"men,divorce","men,divorce,Netherlands",Summarize what most men in Netherlands think of divorce.,How men feel about divorce,Netherlands
"women,abortion","women,abortion,Netherlands",Summarize what most women in Netherlands think of abortion.,How women feel about abortion,Netherlands
"women,divorce","women,divorce,Netherlands",Summarize what most women in Netherlands think of divorce.,How women feel about divorce,Netherlands
"men,abortion","men,abortion,Afghanistan",Summarize what most men in Afghanistan think of abortion.,How men feel about abortion,Afghanistan
"men,divorce","men,divorce,Afghanistan",Summarize what most men in Afghanistan think of divorce.,How men feel about divorce,Afghanistan
"women,abortion","women,abortion,Afghanistan",Summarize what most women in Afghanistan think of abortion.,How women feel about abortion,Afghanistan
"women,divorce","women,divorce,Afghanistan",Summarize what most women in Afghanistan think of divorce.,How women feel about divorce,Afghanistan
"men,abortion","men,abortion,Angola",Summarize what most men in Angola think of abortion.,How men feel about abortion,Angola
"men,divorce","men,divorce,Angola",Summarize what most men in Angola think of divorce.,How men feel about divorce,Angola
"women,abortion","women,abortion,Angola",Summarize what most women in Angola think of abortion.,How women feel about abortion,Angola
"women,divorce","women,divorce,Angola",Summarize what most women in Angola think of divorce.,How women feel about divorce,Angola
"men,abortion","men,abortion,United Kingdom",Summarize what most men in United Kingdom think of abortion.,How men feel about abortion,United Kingdom
"men,divorce","men,divorce,United Kingdom",Summarize what most men in United Kingdom think of divorce.,How men feel about divorce,United Kingdom
"women,abortion","women,abortion,United Kingdom",Summarize what most women in United Kingdom think of abortion.,How women feel about abortion,United Kingdom
"women,divorce","women,divorce,United Kingdom",Summarize what most women in United Kingdom think of divorce.,How women feel about divorce,United Kingdom
"men,abortion","men,abortion,Albania",Summarize what most men in Albania think of abortion.,How men feel about abortion,Albania
"men,divorce","men,divorce,Albania",Summarize what most men in Albania think of divorce.,How men feel about divorce,Albania
"women,abortion","women,abortion,Albania",Summarize what most women in Albania think of abortion.,How women feel about abortion,Albania
"women,divorce","women,divorce,Albania",Summarize what most women in Albania think of divorce.,How women feel about divorce,Albania
"men,abortion","men,abortion,Finland",Summarize what most men in Finland think of abortion.,How men feel about abortion,Finland
"men,divorce","men,divorce,Finland",Summarize what most men in Finland think of divorce.,How men feel about divorce,Finland
"women,abortion","women,abortion,Finland",Summarize what most women in Finland think of abortion.,How women feel about abortion,Finland
"women,divorce","women,divorce,Finland",Summarize what most women in Finland think of divorce.,How women feel about divorce,Finland
"men,abortion","men,abortion,Andorra",Summarize what most men in Andorra think of abortion.,How men feel about abortion,Andorra
"men,divorce","men,divorce,Andorra",Summarize what most men in Andorra think of divorce.,How men feel about divorce,Andorra
"women,abortion","women,abortion,Andorra",Summarize what most women in Andorra think of abortion.,How women feel about abortion,Andorra
"women,divorce","women,divorce,Andorra",Summarize what most women in Andorra think of divorce.,How women feel about divorce,Andorra
"men,abortion","men,abortion,United Arab Emirates",Summarize what most men in United Arab Emirates think of abortion.,How men feel about abortion,United Arab Emirates
"men,divorce","men,divorce,United Arab Emirates",Summarize what most men in United Arab Emirates think of divorce.,How men feel about divorce,United Arab Emirates
"women,abortion","women,abortion,United Arab Emirates",Summarize what most women in United Arab Emirates think of abortion.,How women feel about abortion,United Arab Emirates
"women,divorce","women,divorce,United Arab Emirates",Summarize what most women in United Arab Emirates think of divorce.,How women feel about divorce,United Arab Emirates
"men,abortion","men,abortion,Argentina",Summarize what most men in Argentina think of abortion.,How men feel about abortion,Argentina
"men,divorce","men,divorce,Argentina",Summarize what most men in Argentina think of divorce.,How men feel about divorce,Argentina
"women,abortion","women,abortion,Argentina",Summarize what most women in Argentina think of abortion.,How women feel about abortion,Argentina
"women,divorce","women,divorce,Argentina",Summarize what most women in Argentina think of divorce.,How women feel about divorce,Argentina
"men,abortion","men,abortion,Armenia",Summarize what most men in Armenia think of abortion.,How men feel about abortion,Armenia
"men,divorce","men,divorce,Armenia",Summarize what most men in Armenia think of divorce.,How men feel about divorce,Armenia
"women,abortion","women,abortion,Armenia",Summarize what most women in Armenia think of abortion.,How women feel about abortion,Armenia
"women,divorce","women,divorce,Armenia",Summarize what most women in Armenia think of divorce.,How women feel about divorce,Armenia
"men,abortion","men,abortion,United States of America",Summarize what most men in United States of America think of abortion.,How men feel about abortion,United States of America
"men,divorce","men,divorce,United States of America",Summarize what most men in United States of America think of divorce.,How men feel about divorce,United States of America
"women,abortion","women,abortion,United States of America",Summarize what most women in United States of America think of abortion.,How women feel about abortion,United States of America
"women,divorce","women,divorce,United States of America",Summarize what most women in United States of America think of divorce.,How women feel about divorce,United States of America
"men,abortion","men,abortion,Antarctica",Summarize what most men in Antarctica think of abortion.,How men feel about abortion,Antarctica
"men,divorce","men,divorce,Antarctica",Summarize what most men in Antarctica think of divorce.,How men feel about divorce,Antarctica
"women,abortion","women,abortion,Antarctica",Summarize what most women in Antarctica think of abortion.,How women feel about abortion,Antarctica
"women,divorce","women,divorce,Antarctica",Summarize what most women in Antarctica think of divorce.,How women feel about divorce,Antarctica
"men,abortion","men,abortion,Australia",Summarize what most men in Australia think of abortion.,How men feel about abortion,Australia
"men,divorce","men,divorce,Australia",Summarize what most men in Australia think of divorce.,How men feel about divorce,Australia
"women,abortion","women,abortion,Australia",Summarize what most women in Australia think of abortion.,How women feel about abortion,Australia
"women,divorce","women,divorce,Australia",Summarize what most women in Australia think of divorce.,How women feel about divorce,Australia
"men,abortion","men,abortion,France",Summarize what most men in France think of abortion.,How men feel about abortion,France
"men,divorce","men,divorce,France",Summarize what most men in France think of divorce.,How men feel about divorce,France
"women,abortion","women,abortion,France",Summarize what most women in France think of abortion.,How women feel about abortion,France
"women,divorce","women,divorce,France",Summarize what most women in France think of divorce.,How women feel about divorce,France
"men,abortion","men,abortion,Antigua and Barbuda",Summarize what most men in Antigua and Barbuda think of abortion.,How men feel about abortion,Antigua and Barbuda
"men,divorce","men,divorce,Antigua and Barbuda",Summarize what most men in Antigua and Barbuda think of divorce.,How men feel about divorce,Antigua and Barbuda
"women,abortion","women,abortion,Antigua and Barbuda",Summarize what most women in Antigua and Barbuda think of abortion.,How women feel about abortion,Antigua and Barbuda
"women,divorce","women,divorce,Antigua and Barbuda",Summarize what most women in Antigua and Barbuda think of divorce.,How women feel about divorce,Antigua and Barbuda
"men,abortion","men,abortion,Austria",Summarize what most men in Austria think of abortion.,How men feel about abortion,Austria
"men,divorce","men,divorce,Austria",Summarize what most men in Austria think of divorce.,How men feel about divorce,Austria
"women,abortion","women,abortion,Austria",Summarize what most women in Austria think of abortion.,How women feel about abortion,Austria
"women,divorce","women,divorce,Austria",Summarize what most women in Austria think of divorce.,How women feel about divorce,Austria
"men,abortion","men,abortion,Azerbaijan",Summarize what most men in Azerbaijan think of abortion.,How men feel about abortion,Azerbaijan
"men,divorce","men,divorce,Azerbaijan",Summarize what most men in Azerbaijan think of divorce.,How men feel about divorce,Azerbaijan
"women,abortion","women,abortion,Azerbaijan",Summarize what most women in Azerbaijan think of abortion.,How women feel about abortion,Azerbaijan
"women,divorce","women,divorce,Azerbaijan",Summarize what most women in Azerbaijan think of divorce.,How women feel about divorce,Azerbaijan
"men,abortion","men,abortion,Burundi",Summarize what most men in Burundi think of abortion.,How men feel about abortion,Burundi
"men,divorce","men,divorce,Burundi",Summarize what most men in Burundi think of divorce.,How men feel about divorce,Burundi
"women,abortion","women,abortion,Burundi",Summarize what most women in Burundi think of abortion.,How women feel about abortion,Burundi
"women,divorce","women,divorce,Burundi",Summarize what most women in Burundi think of divorce.,How women feel about divorce,Burundi
"men,abortion","men,abortion,Belgium",Summarize what most men in Belgium think of abortion.,How men feel about abortion,Belgium
"men,divorce","men,divorce,Belgium",Summarize what most men in Belgium think of divorce.,How men feel about divorce,Belgium
"women,abortion","women,abortion,Belgium",Summarize what most women in Belgium think of abortion.,How women feel about abortion,Belgium
"women,divorce","women,divorce,Belgium",Summarize what most women in Belgium think of divorce.,How women feel about divorce,Belgium
"men,abortion","men,abortion,Benin",Summarize what most men in Benin think of abortion.,How men feel about abortion,Benin
"men,divorce","men,divorce,Benin",Summarize what most men in Benin think of divorce.,How men feel about divorce,Benin
"women,abortion","women,abortion,Benin",Summarize what most women in Benin think of abortion.,How women feel about abortion,Benin
"women,divorce","women,divorce,Benin",Summarize what most women in Benin think of divorce.,How women feel about divorce,Benin
"men,abortion","men,abortion,Burkina Faso",Summarize what most men in Burkina Faso think of abortion.,How men feel about abortion,Burkina Faso
"men,divorce","men,divorce,Burkina Faso",Summarize what most men in Burkina Faso think of divorce.,How men feel about divorce,Burkina Faso
"women,abortion","women,abortion,Burkina Faso",Summarize what most women in Burkina Faso think of abortion.,How women feel about abortion,Burkina Faso
"women,divorce","women,divorce,Burkina Faso",Summarize what most women in Burkina Faso think of divorce.,How women feel about divorce,Burkina Faso
"men,abortion","men,abortion,Bangladesh",Summarize what most men in Bangladesh think of abortion.,How men feel about abortion,Bangladesh
