type,question_id,question,button_name,country
"men,abortion","men,abortion,Netherlands",The majority of men in Netherlands view abortion as,How men feel about abortion,Netherlands
"men,divorce","men,divorce,Netherlands",The majority of men in Netherlands view divorce as,How men feel about divorce,Netherlands
"women,abortion","women,abortion,Netherlands",The majority of women in Netherlands view abortion as,How women feel about abortion,Netherlands
"women,divorce","women,divorce,Netherlands",The majority of women in Netherlands view divorce as,How women feel about divorce,Netherlands
"men,abortion","men,abortion,Afghanistan",The majority of men in Afghanistan view abortion as,How men feel about abortion,Afghanistan
"men,divorce","men,divorce,Afghanistan",The majority of men in Afghanistan view divorce as,How men feel about divorce,Afghanistan
"women,abortion","women,abortion,Afghanistan",The majority of women in Afghanistan view abortion as,How women feel about abortion,Afghanistan
"women,divorce","women,divorce,Afghanistan",The majority of women in Afghanistan view divorce as,How women feel about divorce,Afghanistan
"men,abortion","men,abortion,Angola",The majority of men in Angola view abortion as,How men feel about abortion,Angola
"men,divorce","men,divorce,Angola",The majority of men in Angola view divorce as,How men feel about divorce,Angola
"women,abortion","women,abortion,Angola",The majority of women in Angola view abortion as,How women feel about abortion,Angola
"women,divorce","women,divorce,Angola",The majority of women in Angola view divorce as,How women feel about divorce,Angola
"men,abortion","men,abortion,United Kingdom",The majority of men in United Kingdom view abortion as,How men feel about abortion,United Kingdom
"men,divorce","men,divorce,United Kingdom",The majority of men in United Kingdom view divorce as,How men feel about divorce,United Kingdom
"women,abortion","women,abortion,United Kingdom",The majority of women in United Kingdom view abortion as,How women feel about abortion,United Kingdom
"women,divorce","women,divorce,United Kingdom",The majority of women in United Kingdom view divorce as,How women feel about divorce,United Kingdom
"men,abortion","men,abortion,Albania",The majority of men in Albania view abortion as,How men feel about abortion,Albania
"men,divorce","men,divorce,Albania",The majority of men in Albania view divorce as,How men feel about divorce,Albania
"women,abortion","women,abortion,Albania",The majority of women in Albania view abortion as,How women feel about abortion,Albania
"women,divorce","women,divorce,Albania",The majority of women in Albania view divorce as,How women feel about divorce,Albania
"men,abortion","men,abortion,Finland",The majority of men in Finland view abortion as,How men feel about abortion,Finland
"men,divorce","men,divorce,Finland",The majority of men in Finland view divorce as,How men feel about divorce,Finland
"women,abortion","women,abortion,Finland",The majority of women in Finland view abortion as,How women feel about abortion,Finland
"women,divorce","women,divorce,Finland",The majority of women in Finland view divorce as,How women feel about divorce,Finland
"men,abortion","men,abortion,Andorra",The majority of men in Andorra view abortion as,How men feel about abortion,Andorra
"men,divorce","men,divorce,Andorra",The majority of men in Andorra view divorce as,How men feel about divorce,Andorra
"women,abortion","women,abortion,Andorra",The majority of women in Andorra view abortion as,How women feel about abortion,Andorra
"women,divorce","women,divorce,Andorra",The majority of women in Andorra view divorce as,How women feel about divorce,Andorra
"men,abortion","men,abortion,United Arab Emirates",The majority of men in United Arab Emirates view abortion as,How men feel about abortion,United Arab Emirates
"men,divorce","men,divorce,United Arab Emirates",The majority of men in United Arab Emirates view divorce as,How men feel about divorce,United Arab Emirates
"women,abortion","women,abortion,United Arab Emirates",The majority of women in United Arab Emirates view abortion as,How women feel about abortion,United Arab Emirates
"women,divorce","women,divorce,United Arab Emirates",The majority of women in United Arab Emirates view divorce as,How women feel about divorce,United Arab Emirates
"men,abortion","men,abortion,Argentina",The majority of men in Argentina view abortion as,How men feel about abortion,Argentina
"men,divorce","men,divorce,Argentina",The majority of men in Argentina view divorce as,How men feel about divorce,Argentina
"women,abortion","women,abortion,Argentina",The majority of women in Argentina view abortion as,How women feel about abortion,Argentina
"women,divorce","women,divorce,Argentina",The majority of women in Argentina view divorce as,How women feel about divorce,Argentina
"men,abortion","men,abortion,Armenia",The majority of men in Armenia view abortion as,How men feel about abortion,Armenia
"men,divorce","men,divorce,Armenia",The majority of men in Armenia view divorce as,How men feel about divorce,Armenia
"women,abortion","women,abortion,Armenia",The majority of women in Armenia view abortion as,How women feel about abortion,Armenia
"women,divorce","women,divorce,Armenia",The majority of women in Armenia view divorce as,How women feel about divorce,Armenia
"men,abortion","men,abortion,United States of America",The majority of men in United States of America view abortion as,How men feel about abortion,United States of America
"men,divorce","men,divorce,United States of America",The majority of men in United States of America view divorce as,How men feel about divorce,United States of America
"women,abortion","women,abortion,United States of America",The majority of women in United States of America view abortion as,How women feel about abortion,United States of America
"women,divorce","women,divorce,United States of America",The majority of women in United States of America view divorce as,How women feel about divorce,United States of America
"men,abortion","men,abortion,Antarctica",The majority of men in Antarctica view abortion as,How men feel about abortion,Antarctica
"men,divorce","men,divorce,Antarctica",The majority of men in Antarctica view divorce as,How men feel about divorce,Antarctica
"women,abortion","women,abortion,Antarctica",The majority of women in Antarctica view abortion as,How women feel about abortion,Antarctica
"women,divorce","women,divorce,Antarctica",The majority of women in Antarctica view divorce as,How women feel about divorce,Antarctica
"men,abortion","men,abortion,Australia",The majority of men in Australia view abortion as,How men feel about abortion,Australia
"men,divorce","men,divorce,Australia",The majority of men in Australia view divorce as,How men feel about divorce,Australia
"women,abortion","women,abortion,Australia",The majority of women in Australia view abortion as,How women feel about abortion,Australia
"women,divorce","women,divorce,Australia",The majority of women in Australia view divorce as,How women feel about divorce,Australia
"men,abortion","men,abortion,France",The majority of men in France view abortion as,How men feel about abortion,France
"men,divorce","men,divorce,France",The majority of men in France view divorce as,How men feel about divorce,France
"women,abortion","women,abortion,France",The majority of women in France view abortion as,How women feel about abortion,France
"women,divorce","women,divorce,France",The majority of women in France view divorce as,How women feel about divorce,France
"men,abortion","men,abortion,Antigua and Barbuda",The majority of men in Antigua and Barbuda view abortion as,How men feel about abortion,Antigua and Barbuda
"men,divorce","men,divorce,Antigua and Barbuda",The majority of men in Antigua and Barbuda view divorce as,How men feel about divorce,Antigua and Barbuda
"women,abortion","women,abortion,Antigua and Barbuda",The majority of women in Antigua and Barbuda view abortion as,How women feel about abortion,Antigua and Barbuda
"women,divorce","women,divorce,Antigua and Barbuda",The majority of women in Antigua and Barbuda view divorce as,How women feel about divorce,Antigua and Barbuda
"men,abortion","men,abortion,Austria",The majority of men in Austria view abortion as,How men feel about abortion,Austria
"men,divorce","men,divorce,Austria",The majority of men in Austria view divorce as,How men feel about divorce,Austria
"women,abortion","women,abortion,Austria",The majority of women in Austria view abortion as,How women feel about abortion,Austria
"women,divorce","women,divorce,Austria",The majority of women in Austria view divorce as,How women feel about divorce,Austria
"men,abortion","men,abortion,Azerbaijan",The majority of men in Azerbaijan view abortion as,How men feel about abortion,Azerbaijan
"men,divorce","men,divorce,Azerbaijan",The majority of men in Azerbaijan view divorce as,How men feel about divorce,Azerbaijan
"women,abortion","women,abortion,Azerbaijan",The majority of women in Azerbaijan view abortion as,How women feel about abortion,Azerbaijan
"women,divorce","women,divorce,Azerbaijan",The majority of women in Azerbaijan view divorce as,How women feel about divorce,Azerbaijan
"men,abortion","men,abortion,Burundi",The majority of men in Burundi view abortion as,How men feel about abortion,Burundi
"men,divorce","men,divorce,Burundi",The majority of men in Burundi view divorce as,How men feel about divorce,Burundi
"women,abortion","women,abortion,Burundi",The majority of women in Burundi view abortion as,How women feel about abortion,Burundi
"women,divorce","women,divorce,Burundi",The majority of women in Burundi view divorce as,How women feel about divorce,Burundi
"men,abortion","men,abortion,Belgium",The majority of men in Belgium view abortion as,How men feel about abortion,Belgium
"men,divorce","men,divorce,Belgium",The majority of men in Belgium view divorce as,How men feel about divorce,Belgium
"women,abortion","women,abortion,Belgium",The majority of women in Belgium view abortion as,How women feel about abortion,Belgium
"women,divorce","women,divorce,Belgium",The majority of women in Belgium view divorce as,How women feel about divorce,Belgium
"men,abortion","men,abortion,Benin",The majority of men in Benin view abortion as,How men feel about abortion,Benin
"men,divorce","men,divorce,Benin",The majority of men in Benin view divorce as,How men feel about divorce,Benin
"women,abortion","women,abortion,Benin",The majority of women in Benin view abortion as,How women feel about abortion,Benin
"women,divorce","women,divorce,Benin",The majority of women in Benin view divorce as,How women feel about divorce,Benin
"men,abortion","men,abortion,Burkina Faso",The majority of men in Burkina Faso view abortion as,How men feel about abortion,Burkina Faso
"men,divorce","men,divorce,Burkina Faso",The majority of men in Burkina Faso view divorce as,How men feel about divorce,Burkina Faso
"women,abortion","women,abortion,Burkina Faso",The majority of women in Burkina Faso view abortion as,How women feel about abortion,Burkina Faso
"women,divorce","women,divorce,Burkina Faso",The majority of women in Burkina Faso view divorce as,How women feel about divorce,Burkina Faso
"men,abortion","men,abortion,Bangladesh",The majority of men in Bangladesh view abortion as,How men feel about abortion,Bangladesh
"men,divorce","men,divorce,Bangladesh",The majority of men in Bangladesh view divorce as,How men feel about divorce,Bangladesh
"women,abortion","women,abortion,Bangladesh",The majority of women in Bangladesh view abortion as,How women feel about abortion,Bangladesh
"women,divorce","women,divorce,Bangladesh",The majority of women in Bangladesh view divorce as,How women feel about divorce,Bangladesh
"men,abortion","men,abortion,Bulgaria",The majority of men in Bulgaria view abortion as,How men feel about abortion,Bulgaria
"men,divorce","men,divorce,Bulgaria",The majority of men in Bulgaria view divorce as,How men feel about divorce,Bulgaria
"women,abortion","women,abortion,Bulgaria",The majority of women in Bulgaria view abortion as,How women feel about abortion,Bulgaria
"women,divorce","women,divorce,Bulgaria",The majority of women in Bulgaria view divorce as,How women feel about divorce,Bulgaria
"men,abortion","men,abortion,Bahrain",The majority of men in Bahrain view abortion as,How men feel about abortion,Bahrain
"men,divorce","men,divorce,Bahrain",The majority of men in Bahrain view divorce as,How men feel about divorce,Bahrain
"women,abortion","women,abortion,Bahrain",The majority of women in Bahrain view abortion as,How women feel about abortion,Bahrain
"women,divorce","women,divorce,Bahrain",The majority of women in Bahrain view divorce as,How women feel about divorce,Bahrain
"men,abortion","men,abortion,The Bahamas",The majority of men in The Bahamas view abortion as,How men feel about abortion,The Bahamas
"men,divorce","men,divorce,The Bahamas",The majority of men in The Bahamas view divorce as,How men feel about divorce,The Bahamas
"women,abortion","women,abortion,The Bahamas",The majority of women in The Bahamas view abortion as,How women feel about abortion,The Bahamas
"women,divorce","women,divorce,The Bahamas",The majority of women in The Bahamas view divorce as,How women feel about divorce,The Bahamas
"men,abortion","men,abortion,Bosnia and Herzegovina",The majority of men in Bosnia and Herzegovina view abortion as,How men feel about abortion,Bosnia and Herzegovina
"men,divorce","men,divorce,Bosnia and Herzegovina",The majority of men in Bosnia and Herzegovina view divorce as,How men feel about divorce,Bosnia and Herzegovina
"women,abortion","women,abortion,Bosnia and Herzegovina",The majority of women in Bosnia and Herzegovina view abortion as,How women feel about abortion,Bosnia and Herzegovina
"women,divorce","women,divorce,Bosnia and Herzegovina",The majority of women in Bosnia and Herzegovina view divorce as,How women feel about divorce,Bosnia and Herzegovina
"men,abortion","men,abortion,Belarus",The majority of men in Belarus view abortion as,How men feel about abortion,Belarus
"men,divorce","men,divorce,Belarus",The majority of men in Belarus view divorce as,How men feel about divorce,Belarus
"women,abortion","women,abortion,Belarus",The majority of women in Belarus view abortion as,How women feel about abortion,Belarus
"women,divorce","women,divorce,Belarus",The majority of women in Belarus view divorce as,How women feel about divorce,Belarus
"men,abortion","men,abortion,Belize",The majority of men in Belize view abortion as,How men feel about abortion,Belize
"men,divorce","men,divorce,Belize",The majority of men in Belize view divorce as,How men feel about divorce,Belize
"women,abortion","women,abortion,Belize",The majority of women in Belize view abortion as,How women feel about abortion,Belize
"women,divorce","women,divorce,Belize",The majority of women in Belize view divorce as,How women feel about divorce,Belize
"men,abortion","men,abortion,Bolivia",The majority of men in Bolivia view abortion as,How men feel about abortion,Bolivia
"men,divorce","men,divorce,Bolivia",The majority of men in Bolivia view divorce as,How men feel about divorce,Bolivia
"women,abortion","women,abortion,Bolivia",The majority of women in Bolivia view abortion as,How women feel about abortion,Bolivia
"women,divorce","women,divorce,Bolivia",The majority of women in Bolivia view divorce as,How women feel about divorce,Bolivia
"men,abortion","men,abortion,Brazil",The majority of men in Brazil view abortion as,How men feel about abortion,Brazil
"men,divorce","men,divorce,Brazil",The majority of men in Brazil view divorce as,How men feel about divorce,Brazil
"women,abortion","women,abortion,Brazil",The majority of women in Brazil view abortion as,How women feel about abortion,Brazil
"women,divorce","women,divorce,Brazil",The majority of women in Brazil view divorce as,How women feel about divorce,Brazil
"men,abortion","men,abortion,Barbados",The majority of men in Barbados view abortion as,How men feel about abortion,Barbados
"men,divorce","men,divorce,Barbados",The majority of men in Barbados view divorce as,How men feel about divorce,Barbados
"women,abortion","women,abortion,Barbados",The majority of women in Barbados view abortion as,How women feel about abortion,Barbados
"women,divorce","women,divorce,Barbados",The majority of women in Barbados view divorce as,How women feel about divorce,Barbados
"men,abortion","men,abortion,Brunei",The majority of men in Brunei view abortion as,How men feel about abortion,Brunei
"men,divorce","men,divorce,Brunei",The majority of men in Brunei view divorce as,How men feel about divorce,Brunei
"women,abortion","women,abortion,Brunei",The majority of women in Brunei view abortion as,How women feel about abortion,Brunei
"women,divorce","women,divorce,Brunei",The majority of women in Brunei view divorce as,How women feel about divorce,Brunei
"men,abortion","men,abortion,Bhutan",The majority of men in Bhutan view abortion as,How men feel about abortion,Bhutan
"men,divorce","men,divorce,Bhutan",The majority of men in Bhutan view divorce as,How men feel about divorce,Bhutan
"women,abortion","women,abortion,Bhutan",The majority of women in Bhutan view abortion as,How women feel about abortion,Bhutan
"women,divorce","women,divorce,Bhutan",The majority of women in Bhutan view divorce as,How women feel about divorce,Bhutan
"men,abortion","men,abortion,Botswana",The majority of men in Botswana view abortion as,How men feel about abortion,Botswana
"men,divorce","men,divorce,Botswana",The majority of men in Botswana view divorce as,How men feel about divorce,Botswana
"women,abortion","women,abortion,Botswana",The majority of women in Botswana view abortion as,How women feel about abortion,Botswana
"women,divorce","women,divorce,Botswana",The majority of women in Botswana view divorce as,How women feel about divorce,Botswana
"men,abortion","men,abortion,Central African Republic",The majority of men in Central African Republic view abortion as,How men feel about abortion,Central African Republic
"men,divorce","men,divorce,Central African Republic",The majority of men in Central African Republic view divorce as,How men feel about divorce,Central African Republic
"women,abortion","women,abortion,Central African Republic",The majority of women in Central African Republic view abortion as,How women feel about abortion,Central African Republic
"women,divorce","women,divorce,Central African Republic",The majority of women in Central African Republic view divorce as,How women feel about divorce,Central African Republic
"men,abortion","men,abortion,Canada",The majority of men in Canada view abortion as,How men feel about abortion,Canada
"men,divorce","men,divorce,Canada",The majority of men in Canada view divorce as,How men feel about divorce,Canada
"women,abortion","women,abortion,Canada",The majority of women in Canada view abortion as,How women feel about abortion,Canada
"women,divorce","women,divorce,Canada",The majority of women in Canada view divorce as,How women feel about divorce,Canada
"men,abortion","men,abortion,Switzerland",The majority of men in Switzerland view abortion as,How men feel about abortion,Switzerland
"men,divorce","men,divorce,Switzerland",The majority of men in Switzerland view divorce as,How men feel about divorce,Switzerland
"women,abortion","women,abortion,Switzerland",The majority of women in Switzerland view abortion as,How women feel about abortion,Switzerland
"women,divorce","women,divorce,Switzerland",The majority of women in Switzerland view divorce as,How women feel about divorce,Switzerland
"men,abortion","men,abortion,Chile",The majority of men in Chile view abortion as,How men feel about abortion,Chile
"men,divorce","men,divorce,Chile",The majority of men in Chile view divorce as,How men feel about divorce,Chile
"women,abortion","women,abortion,Chile",The majority of women in Chile view abortion as,How women feel about abortion,Chile
"women,divorce","women,divorce,Chile",The majority of women in Chile view divorce as,How women feel about divorce,Chile
"men,abortion","men,abortion,China",The majority of men in China view abortion as,How men feel about abortion,China
"men,divorce","men,divorce,China",The majority of men in China view divorce as,How men feel about divorce,China
"women,abortion","women,abortion,China",The majority of women in China view abortion as,How women feel about abortion,China
"women,divorce","women,divorce,China",The majority of women in China view divorce as,How women feel about divorce,China
"men,abortion","men,abortion,Ivory Coast",The majority of men in Ivory Coast view abortion as,How men feel about abortion,Ivory Coast
"men,divorce","men,divorce,Ivory Coast",The majority of men in Ivory Coast view divorce as,How men feel about divorce,Ivory Coast
"women,abortion","women,abortion,Ivory Coast",The majority of women in Ivory Coast view abortion as,How women feel about abortion,Ivory Coast
"women,divorce","women,divorce,Ivory Coast",The majority of women in Ivory Coast view divorce as,How women feel about divorce,Ivory Coast
"men,abortion","men,abortion,Cameroon",The majority of men in Cameroon view abortion as,How men feel about abortion,Cameroon
"men,divorce","men,divorce,Cameroon",The majority of men in Cameroon view divorce as,How men feel about divorce,Cameroon
"women,abortion","women,abortion,Cameroon",The majority of women in Cameroon view abortion as,How women feel about abortion,Cameroon
"women,divorce","women,divorce,Cameroon",The majority of women in Cameroon view divorce as,How women feel about divorce,Cameroon
"men,abortion","men,abortion,Democratic Republic of the Congo",The majority of men in Democratic Republic of the Congo view abortion as,How men feel about abortion,Democratic Republic of the Congo
